DATE,RAIN,SNOW,SUN,TEMP,WIND
2020-04-11,0.0,0.0,6.0,11.4,2.3
2020-04-12,0.1,0.0,3.8,7.6,3.3
2020-04-13,0.1,0.0,6.1,9.8,2.0
2020-04-14,0.0,0.0,8.4,10.3,3.0
2020-04-15,0.0,0.0,0.0,8.1,5.0
2020-04-16,0.0,0.0,0.0,6.2,6.0
2020-04-17,0.0,0.0,7.8,6.1,2.0
2020-04-18,7.2,0.0,9.9,8.9,2.7
2020-04-19,0.3,0.0,4.0,9.9,2.0
2020-04-20,0.0,0.0,4.1,10.3,2.3
2020-04-21,0.0,0.0,4.1,11.3,3.0
2020-04-22,0.0,0.0,3.4,10.2,3.7
2020-04-23,0.0,0.0,9.5,11.1,2.3
2020-04-24,0.0,0.0,6.2,10.3,3.7
2020-04-25,0.0,0.0,7.7,13.2,4.0
2020-04-26,0.0,0.0,13.6,18.5,3.3
2020-04-27,0.0,0.0,13.4,22.5,1.7
2020-04-28,0.9,0.0,13.4,23.5,2.0
2020-04-29,1.3,0.0,9.8,24.1,2.3
2020-04-30,2.3,0.0,13.0,22.8,3.0
2020-05-01,0.1,0.0,13.4,24.1,2.0
2020-05-02,0.3,0.0,9.8,22.3,3.0
2020-05-03,0.3,0.0,3.9,17.6,2.7
2020-05-04,1.8,0.0,10.4,17.7,1.3
2020-05-05,0.3,0.0,7.3,15.0,3.0
2020-05-06,0.0,0.0,2.7,12.6,3.0
2020-05-07,0.0,0.0,2.3,13.2,2.0
2020-05-08,0.0,0.0,8.3,16.3,2.3
2020-05-09,0.8,0.0,9.1,20.0,1.7
2020-05-10,9.3,0.0,10.7,21.7,1.7
2020-05-11,22.3,0.0,10.3,25.4,2.3
2020-05-12,0.0,0.0,2.4,11.7,3.7
2020-05-13,4.5,0.0,4.1,8.3,3.3
2020-05-14,0.1,0.0,2.9,11.6,1.7
2020-05-15,0.0,0.0,5.5,12.3,2.3
2020-05-16,0.0,0.0,3.6,9.9,5.3
2020-05-17,0.0,0.0,9.4,9.8,3.7
2020-05-18,0.0,0.0,10.8,13.0,2.3
2020-05-19,0.0,0.0,14.4,18.4,2.3
2020-05-20,0.0,0.0,10.6,21.0,4.0
2020-05-21,0.0,0.0,5.9,23.1,6.0
2020-05-22,5.8,0.0,8.0,21.9,3.3
2020-05-23,5.7,0.0,11.6,24.4,4.7
2020-05-24,1.0,0.0,14.5,21.0,4.3
2020-05-25,0.7,0.0,13.3,18.6,3.0
2020-05-26,0.0,0.0,12.7,19.1,2.7
2020-05-27,3.9,0.0,8.1,19.2,2.0
2020-05-28,0.1,0.0,3.8,17.6,1.7
2020-05-29,0.0,0.0,10.4,19.9,3.0
2020-05-30,0.0,0.0,8.6,20.1,4.0
2020-05-31,0.5,0.0,4.7,18.4,2.3
2020-06-01,0.0,0.0,2.6,15.3,7.0
2020-06-02,4.2,0.0,3.7,15.0,3.7
2020-06-03,2.0,0.0,3.1,17.1,3.3
2020-06-04,13.2,0.0,1.7,16.5,1.3
2020-06-05,0.5,0.0,0.1,11.8,5.0
2020-06-06,2.6,0.0,4.1,14.8,1.7
2020-06-07,3.1,0.0,10.5,22.3,2.7
2020-06-08,0.0,0.0,4.2,21.2,4.0
2020-06-09,0.2,0.0,4.5,19.0,4.3
2020-06-10,9.6,0.0,0.5,15.0,1.3
2020-06-11,0.0,0.0,3.2,17.2,1.0
2020-06-12,0.0,0.0,2.8,16.9,1.7
2020-06-13,23.5,0.0,1.6,17.1,4.7
2020-06-14,8.1,0.0,0.1,14.9,3.0
2020-06-15,0.0,0.0,8.4,20.2,1.7
2020-06-16,0.0,0.0,11.9,25.6,1.7
2020-06-17,0.0,0.0,12.2,23.3,2.7
2020-06-18,1.2,0.0,11.1,26.9,2.7
2020-06-19,3.6,0.0,8.2,23.3,2.7
2020-06-20,6.9,0.0,4.7,25.7,1.0
2020-06-21,0.0,0.0,6.3,22.1,3.7
2020-06-22,0.0,0.0,10.8,23.1,5.0
2020-06-23,0.0,0.0,13.6,22.3,3.0
2020-06-24,0.5,0.0,10.3,23.8,4.7
2020-06-25,0.1,0.0,5.3,18.1,6.3
2020-06-26,0.0,0.0,8.6,17.6,3.7
2020-06-27,1.4,0.0,10.6,20.2,3.3
2020-06-28,9.8,0.0,9.9,24.3,2.0
2020-06-29,0.1,0.0,11.2,27.7,2.7
2020-06-30,0.0,0.0,8.6,29.3,2.3
2020-07-01,0.3,0.0,8.6,24.2,5.0
2020-07-02,5.2,0.0,6.1,22.9,4.0
2020-07-03,0.0,0.0,1.6,20.6,2.3
2020-07-04,0.0,0.0,4.4,23.7,1.7
2020-07-05,0.0,0.0,6.5,24.3,1.7
2020-07-06,0.1,0.0,10.1,25.1,1.7
2020-07-07,0.0,0.0,7.7,21.5,1.3
2020-07-08,4.3,0.0,11.1,25.5,2.3
2020-07-09,0.0,0.0,9.1,24.0,3.0
2020-07-10,0.4,0.0,10.6,23.5,2.7
2020-07-11,1.2,0.0,9.0,22.5,4.0
2020-07-12,0.0,0.0,9.1,16.8,6.0
2020-07-13,0.0,0.0,1.5,17.1,2.0
2020-07-14,0.0,0.0,6.7,20.3,5.3
2020-07-15,3.3,0.0,6.1,16.0,3.0
