datum_zobrazeni;datum;kraj_kod;incidence14_100;incidence_65_14_100;simple_r;pozit_perc_test;podil_zachycen_hosp
2020-10-01;2020-09-30;CZ010;475.400798700000;201.492625700000;0.934830059245;0.147742952887;
2020-10-01;2020-09-30;CZ020;343.205314400000;189.101307500000;1.046835443037;0.169409354728;
2020-10-01;2020-09-30;CZ031;212.259789800000;105.208962900000;0.898236092265;0.156353330184;
2020-10-01;2020-09-30;CZ032;270.708800200000;155.382907800000;0.961445783132;0.166353971232;
2020-10-01;2020-09-30;CZ041;207.629444500000;185.904185300000;0.748554913294;0.121482176360;
2020-10-01;2020-09-30;CZ042;210.647683400000;121.507428500000;0.940397350993;0.173135541556;
2020-10-01;2020-09-30;CZ051;263.743118200000;73.773109100000;0.912310286677;0.163246831623;
2020-10-01;2020-09-30;CZ052;187.725920100000;99.859701200000;1.127882599580;0.122495446265;
2020-10-01;2020-09-30;CZ053;234.290129500000;140.294153100000;0.998389694041;0.142201834862;
2020-10-01;2020-09-30;CZ063;276.701280500000;143.737943000000;1.152838427947;0.206035379812;
2020-10-01;2020-09-30;CZ064;244.451936500000;143.449484600000;0.958076448828;0.185220500595;
2020-10-01;2020-09-30;CZ071;253.440799800000;129.601024700000;1.237500000000;0.223224351747;
2020-10-01;2020-09-30;CZ072;303.730786200000;165.671008300000;1.321336760925;0.193998867710;
2020-10-01;2020-09-30;CZ080;176.218987700000;94.599596900000;1.125608568646;0.095214562227;
2020-10-02;2020-10-01;CZ010;466.337698600000;206.233628700000;0.971473851030;0.151702633141;
2020-10-02;2020-10-01;CZ020;347.711761800000;203.706693100000;1.077960387694;0.169471313104;
2020-10-02;2020-10-01;CZ031;218.786079100000;106.701288600000;0.959610027855;0.161245026913;
2020-10-02;2020-10-01;CZ032;270.370414200000;139.762403900000;0.971496437054;0.172501054407;
2020-10-02;2020-10-01;CZ041;214.448145400000;202.355883100000;0.774774774774;0.126099706744;
2020-10-02;2020-10-01;CZ042;207.587722900000;140.531318800000;0.918172157279;0.180602006688;
2020-10-02;2020-10-01;CZ051;260.805105800000;80.379656200000;1.010869565217;0.168478260869;
2020-10-02;2020-10-01;CZ052;185.002623400000;99.859701200000;1.200845665961;0.124534093400;
2020-10-02;2020-10-01;CZ053;238.497789000000;146.797855600000;1.052969502407;0.154789995280;
2020-10-02;2020-10-01;CZ063;282.400383600000;157.922608400000;1.158192090395;0.214772132006;
2020-10-02;2020-10-01;CZ064;257.335440400000;164.119439200000;1.038183015141;0.190504952887;
2020-10-02;2020-10-01;CZ071;270.569464600000;147.684888600000;1.231833910034;0.238819320214;
2020-10-02;2020-10-01;CZ072;307.350733200000;179.544935200000;1.373599003735;0.199385394070;
2020-10-02;2020-10-01;CZ080;184.602383900000;106.527372100000;1.228903976721;0.101376220195;
2020-10-03;2020-10-02;CZ010;469.783174600000;214.135300300000;0.962021343377;0.148959953343;
2020-10-03;2020-10-02;CZ020;356.080878500000;220.618192100000;1.061889250814;0.169692237621;
2020-10-03;2020-10-02;CZ031;228.420125200000;117.147568600000;1.016643550624;0.164128974473;
2020-10-03;2020-10-02;CZ032;282.383117200000;152.916512500000;0.991725768321;0.166699781442;
2020-10-03;2020-10-02;CZ041;211.038794900000;204.001052900000;0.910000000000;0.139427987742;
2020-10-03;2020-10-02;CZ042;223.989111400000;158.941535200000;0.931451612903;0.193467336683;
2020-10-03;2020-10-02;CZ051;269.845144100000;92.491659200000;1.080935251798;0.185208012326;
2020-10-03;2020-10-02;CZ052;198.982213200000;118.016010500000;1.117328519855;0.129146672230;
2020-10-03;2020-10-02;CZ053;251.885796400000;152.372457700000;1.096062992125;0.161785216178;
2020-10-03;2020-10-02;CZ063;302.052463100000;184.400650600000;1.159618008185;0.217892847987;
2020-10-03;2020-10-02;CZ064;279.086810500000;180.242003800000;1.133597883597;0.206133493686;
2020-10-03;2020-10-02;CZ071;301.654819300000;157.480314900000;1.278422273781;0.253917050691;
2020-10-03;2020-10-02;CZ072;346.825392700000;208.925015500000;1.558080808080;0.223388848660;
2020-10-03;2020-10-02;CZ080;208.830398800000;124.213383700000;1.315363881401;0.114527106313;
2020-10-04;2020-10-03;CZ010;464.989468800000;208.209046600000;0.980725987793;0.147573472544;
2020-10-04;2020-10-03;CZ020;359.585893200000;231.380055100000;1.078861788617;0.171314226697;
2020-10-04;2020-10-03;CZ031;250.174422800000;134.309314300000;1.283453237410;0.197695035460;
2020-10-04;2020-10-03;CZ032;293.042276200000;157.027171400000;1.085365853658;0.172949863972;
2020-10-04;2020-10-03;CZ041;211.038794900000;215.517241300000;0.950166112956;0.154261057173;
2020-10-04;2020-10-03;CZ042;238.921718800000;185.329512100000;1.115894039735;0.209664039817;
2020-10-04;2020-10-03;CZ051;279.337184300000;114.513482800000;1.210619469026;0.194373401534;
2020-10-04;2020-10-03;CZ052;190.086110600000;118.016010500000;1.099616858237;0.120083682008;
2020-10-04;2020-10-03;CZ053;249.016937700000;165.379862600000;1.082934609250;0.163103531107;
2020-10-04;2020-10-03;CZ063;308.537649400000;196.694027300000;1.169606512890;0.223663725998;
2020-10-04;2020-10-03;CZ064;274.401900000000;195.124371100000;1.190669371196;0.210721550795;
2020-10-04;2020-10-03;CZ071;304.509596800000;159.740797900000;1.250593824228;0.244428969359;
2020-10-04;2020-10-03;CZ072;365.442262700000;221.982828900000;1.483108108108;0.232932437212;
2020-10-04;2020-10-03;CZ080;218.303636500000;140.665487500000;1.410762331838;0.118869492934;
2020-10-05;2020-10-04;CZ010;479.520389700000;219.666470400000;1.082828282828;0.159523809523;
2020-10-05;2020-10-04;CZ020;368.956442600000;236.376634400000;1.131964809384;0.182926003655;
2020-10-05;2020-10-04;CZ031;253.282179600000;138.786291400000;1.452076677316;0.189296126613;
2020-10-05;2020-10-04;CZ032;303.532242200000;161.959962100000;1.195460277427;0.185337243401;
2020-10-05;2020-10-04;CZ041;213.766275300000;213.872071500000;1.180505415162;0.176565874730;
