Období,Vstup,Výstup,Obrat
15.4.2022,496764,489122,985886
16.4.2022,456770,447055,903825
17.4.2022,421524,415547,837071
18.4.2022,334798,329631,664429
19.4.2022,934066,933684,1867750
20.4.2022,1007334,1011677,2019011
21.4.2022,970720,973356,1944076
22.4.2022,941000,939365,1880365
23.4.2022,609229,600149,1209378
24.4.2022,427666,418721,846387
25.4.2022,930371,929152,1859523
26.4.2022,968832,968398,1937230
27.4.2022,990976,988128,1979104
28.4.2022,991936,991578,1983514
29.4.2022,925202,919967,1845169
30.4.2022,536100,531133,1067233
1.5.2022,469806,463819,933625
2.5.2022,962442,959237,1921679
3.5.2022,985094,979702,1964796
4.5.2022,1005760,1000620,2006380
5.5.2022,964889,961586,1926475
6.5.2022,924885,920165,1845050
7.5.2022,573377,561390,1134767
8.5.2022,500788,491368,992156
9.5.2022,950164,944489,1894653
10.5.2022,1009175,1004087,2013262
11.5.2022,1017879,1012530,2030409
12.5.2022,988534,983978,1972512
13.5.2022,947878,945444,1893322
14.5.2022,610507,600805,1211312
15.5.2022,598036,592530,1190566
16.5.2022,1063649,1058383,2122032
17.5.2022,982516,979752,1962268
18.5.2022,1030825,1021151,2051976
19.5.2022,992518,986301,1978819
20.5.2022,925860,917969,1843829
21.5.2022,527787,518314,1046101
22.5.2022,448389,440991,889380
23.5.2022,933619,929803,1863422
24.5.2022,956361,948215,1904576
25.5.2022,982530,978451,1960981
26.5.2022,988245,986517,1974762
27.5.2022,915861,906079,1821940
28.5.2022,560598,551619,1112217
29.5.2022,441842,436187,878029
30.5.2022,916286,911828,1828114
31.5.2022,972388,964728,1937116
1.6.2022,1016365,1002212,2018577
2.6.2022,982908,972018,1954926
3.6.2022,902879,882141,1785020
4.6.2022,567675,549982,1117657
5.6.2022,595333,584494,1179827
6.6.2022,1050952,1041886,2092838
7.6.2022,993792,976391,1970183
8.6.2022,1023399,1018470,2041869
9.6.2022,958800,955601,1914401
10.6.2022,937359,931992,1869351
11.6.2022,534762,531018,1065780
12.6.2022,448752,444004,892756
13.6.2022,947337,940082,1887419
14.6.2022,985105,979652,1964757
15.6.2022,1018530,1017261,2035791
16.6.2022,988211,975494,1963705
17.6.2022,915162,912196,1827358
18.6.2022,575677,568722,1144399
19.6.2022,481746,475177,956923
20.6.2022,934549,933722,1868271
21.6.2022,997319,993472,1990791
22.6.2022,1089016,1083490,2172506
23.6.2022,1008436,1011891,2020327
24.6.2022,876183,865806,1741989
25.6.2022,478205,467114,945319
26.6.2022,484652,477710,962362
27.6.2022,951476,944629,1896105
28.6.2022,987108,979621,1966729
29.6.2022,983443,972930,1956373
30.6.2022,999404,995046,1994450
1.7.2022,763778,756808,1520586
2.7.2022,473169,470422,943591
3.7.2022,414351,407555,821906
4.7.2022,640789,636891,1277680
5.7.2022,433563,429553,863116
6.7.2022,435445,428245,863690
7.7.2022,696009,691105,1387114
8.7.2022,663615,663042,1326657
9.7.2022,433565,424723,858288
10.7.2022,408048,398015,806063
11.7.2022,812942,811349,1624291
12.7.2022,839332,841895,1681227
13.7.2022,861754,857357,1719111
14.7.2022,822774,820857,1643631
15.7.2022,777468,775954,1553422
16.7.2022,485198,477944,963142
17.7.2022,445959,441017,886976
18.7.2022,811908,810046,1621954
19.7.2022,831835,829468,1661303
20.7.2022,826290,821192,1647482
21.7.2022,799622,791118,1590740
22.7.2022,744916,736252,1481168
23.7.2022,456965,445855,902820
24.7.2022,445250,436172,881422
25.7.2022,798994,792182,1591176
26.7.2022,819307,811303,1630610
27.7.2022,835011,826495,1661506
28.7.2022,821923,818324,1640247
29.7.2022,727294,719103,1446397
30.7.2022,442843,429884,872727
31.7.2022,459625,446998,906623
1.8.2022,796345,788559,1584904
2.8.2022,828393,820991,1649384
3.8.2022,828740,822973,1651713
4.8.2022,790525,785469,1575994
5.8.2022,722763,707980,1430743
6.8.2022,454281,444018,898299
7.8.2022,413910,404940,818850
8.8.2022,806306,801781,1608087
9.8.2022,838558,827345,1665903
10.8.2022,847801,840796,1688597
11.8.2022,812845,808240,1621085
12.8.2022,757030,745646,1502676
13.8.2022,515835,499902,1015737
14.8.2022,465275,453115,918390
15.8.2022,825054,813298,1638352
16.8.2022,850087,834617,1684704
17.8.2022,843587,831150,1674737
18.8.2022,804856,796364,1601220
19.8.2022,758031,743350,1501381
20.8.2022,431472,414106,845578
21.8.2022,414998,402229,817227
22.8.2022,812258,797149,1609407
23.8.2022,817655,799007,1616662
24.8.2022,859959,847813,1707772
25.8.2022,849957,838440,1688397
26.8.2022,756565,740589,1497154
27.8.2022,472471,460524,932995
28.8.2022,443424,432547,875971
29.8.2022,858597,849010,1707607
30.8.2022,892545,882168,1774713
31.8.2022,887930,878264,1766194
1.9.2022,932565,924141,1856706
2.9.2022,886535,877145,1763680
3.9.2022,582738,569173,1151911
4.9.2022,456623,445416,902039
5.9.2022,926777,921260,1848037
6.9.2022,941730,935339,1877069
7.9.2022,953646,942536,1896182
8.9.2022,928768,919776,1848544
9.9.2022,880082,869150,1749232
10.9.2022,510721,497190,1007911
11.9.2022,445804,432582,878386
12.9.2022,920648,910277,1830925
13.9.2022,940459,927965,1868424
14.9.2022,958786,939181,1897967
15.9.2022,958235,945934,1904169
16.9.2022,903935,892255,1796190
17.9.2022,526348,516810,1043158
18.9.2022,461700,450632,912332
19.9.2022,942444,930871,1873315
20.9.2022,967001,953760,1920761
21.9.2022,988188,978135,1966323
22.9.2022,962962,956362,1919324
23.9.2022,901580,893961,1795541
24.9.2022,541875,529567,1071442
25.9.2022,457014,443150,900164
26.9.2022,928405,924711,1853116
27.9.2022,977418,970295,1947713
28.9.2022,481163,470077,951240
29.9.2022,926251,925548,1851799
30.9.2022,883185,877171,1760356
1.10.2022,534096,523974,1058070
2.10.2022,467104,460015,927119
3.10.2022,992456,989699,1982155
4.10.2022,1013712,1008309,2022021
5.10.2022,1030130,1025655,2055785
6.10.2022,1004882,1000815,2005697
7.10.2022,952200,946024,1898224
8.10.2022,554401,542558,1096959
9.10.2022,485629,476707,962336
10.10.2022,1006890,1005229,2012119
11.10.2022,1029905,1025466,2055371
12.10.2022,1053329,1049673,2103002
13.10.2022,1042484,1040442,2082926
14.10.2022,993752,987360,1981112
15.10.2022,607763,596019,1203782
16.10.2022,517675,506566,1024241
17.10.2022,1016692,1010589,2027281
18.10.2022,1058107,1046220,2104327
19.10.2022,1063783,1061475,2125258
20.10.2022,1047664,1046818,2094482
21.10.2022,969449,965305,1934754
22.10.2022,534696,523780,1058476
23.10.2022,503202,493936,997138
24.10.2022,1019018,1009282,2028300
25.10.2022,1054000,1045947,2099947
26.10.2022,1011178,1002237,2013415
27.10.2022,953045,942644,1895689
28.10.2022,559822,547289,1107111
29.10.2022,561733,547039,1108772
30.10.2022,529437,517272,1046709
31.10.2022,1057599,1047323,2104922
1.11.2022,1070473,1065569,2136042
2.11.2022,1094032,1090182,2184214
3.11.2022,1065896,1065405,2131301
4.11.2022,1027863,1005031,2032894
5.11.2022,562007,553304,1115311
6.11.2022,487846,482104,969950
7.11.2022,1015334,1014934,2030268
8.11.2022,1065801,1065785,2131586
9.11.2022,1070610,1069640,2140250
10.11.2022,1056789,1057439,2114228
11.11.2022,994356,991010,1985366
12.11.2022,592428,584454,1176882
13.11.2022,471805,466824,938629
14.11.2022,1023211,1021151,2044362
15.11.2022,1050042,1048331,2098373
16.11.2022,1082404,1077389,2159793
17.11.2022,542868,538119,1080987
18.11.2022,736255,733439,1469694
19.11.2022,488959,486413,975372
20.11.2022,406492,404752,811244
21.11.2022,1001153,1002959,2004112
22.11.2022,1041843,1041110,2082953
23.11.2022,1059409,1059532,2118941
24.11.2022,1058248,1057810,2116058
25.11.2022,1029207,1024905,2054112
26.11.2022,606678,595310,1201988
27.11.2022,493101,483822,976923
28.11.2022,1019038,1017600,2036638
29.11.2022,1055969,1050121,2106090
30.11.2022,1087452,1087255,2174707
1.12.2022,1064881,1064661,2129542
2.12.2022,1024022,1018816,2042838
3.12.2022,647342,635882,1283224
4.12.2022,500138,493464,993602
5.12.2022,1018986,1019802,2038788
6.12.2022,1056989,1046380,2103369
7.12.2022,1078957,1075703,2154660
8.12.2022,1061160,1060386,2121546
9.12.2022,1000670,998076,1998746
10.12.2022,653564,643158,1296722
11.12.2022,519643,512834,1032477
12.12.2022,1051846,1052553,2104399
13.12.2022,1070340,1072319,2142659
14.12.2022,1084043,1080653,2164696
15.12.2022,1078829,1079213,2158042
16.12.2022,1008507,1004805,2013312
17.12.2022,640429,631385,1271814
18.12.2022,507481,501590,1009071
19.12.2022,1014061,1018712,2032773
20.12.2022,1035745,1034740,2070485
21.12.2022,1013762,1011750,2025512
22.12.2022,908891,908903,1817794
23.12.2022,625057,614432,1239489
24.12.2022,285242,282920,568162
25.12.2022,282910,277396,560306
26.12.2022,324552,314319,638871
27.12.2022,621118,613341,1234459
28.12.2022,655467,650150,1305617
29.12.2022,657107,653019,1310126
30.12.2022,632392,626258,1258650
31.12.2022,469906,460246,930152
1.1.2023,297722,291205,588927
2.1.2023,759226,757000,1516226
3.1.2023,906644,907748,1814392
4.1.2023,927412,930203,1857615
5.1.2023,923951,926004,1849955
6.1.2023,872288,873152,1745440
7.1.2023,486935,480842,967777
8.1.2023,402307,399292,801599
9.1.2023,916603,921237,1837840
10.1.2023,954988,959209,1914197
11.1.2023,967334,969713,1937047
12.1.2023,944704,948656,1893360
13.1.2023,892853,895817,1788670
14.1.2023,472704,467704,940408
15.1.2023,367555,362457,730012
16.1.2023,926624,931963,1858587
17.1.2023,966890,972057,1938947
18.1.2023,962693,970351,1933044
19.1.2023,956154,965441,1921595
20.1.2023,885408,891924,1777332
21.1.2023,499576,500011,999587
22.1.2023,408357,406011,814368
23.1.2023,904305,914155,1818460
24.1.2023,951425,961904,1913329
25.1.2023,979377,989058,1968435
26.1.2023,941416,952753,1894169
27.1.2023,879684,887972,1767656
28.1.2023,503617,500601,1004218
29.1.2023,410932,404974,815906
30.1.2023,907365,917158,1824523
31.1.2023,953519,960949,1914468
1.2.2023,953616,959681,1913297
2.2.2023,936332,942941,1879273
3.2.2023,790213,788793,1579006
4.2.2023,464817,461917,926734
5.2.2023,409305,409270,818575
6.2.2023,859515,865463,1724978
7.2.2023,896302,897333,1793635
8.2.2023,905956,909480,1815436
9.2.2023,885481,890494,1775975
10.2.2023,830403,832124,1662527
11.2.2023,474858,468306,943164
12.2.2023,409462,404882,814344
13.2.2023,946675,947384,1894059
14.2.2023,1002552,1001710,2004262
15.2.2023,999574,1003585,2003159
16.2.2023,972660,975427,1948087
17.2.2023,904921,907716,1812637
18.2.2023,492187,487864,980051
19.2.2023,396851,393604,790455
20.2.2023,973411,976677,1950088
21.2.2023,1009616,1013163,2022779
22.2.2023,1029203,1032539,2061742
23.2.2023,999018,1003607,2002625
24.2.2023,920241,920578,1840819
25.2.2023,518604,515263,1033867
26.2.2023,429524,431003,860527
27.2.2023,965177,968083,1933260
28.2.2023,1011848,1014120,2025968
1.3.2023,1013626,1018737,2032363
2.3.2023,993429,995486,1988915
3.3.2023,938236,936132,1874368
4.3.2023,486892,485610,972502
5.3.2023,385391,382930,768321
6.3.2023,973955,978161,1952116
7.3.2023,1001261,1001646,2002907
8.3.2023,1030496,1030048,2060544
9.3.2023,986164,983326,1969490
10.3.2023,922852,919532,1842384
11.3.2023,549200,539917,1089117
12.3.2023,429918,424277,854195
13.3.2023,879396,877157,1756553
14.3.2023,926500,921807,1848307
15.3.2023,941128,937247,1878375
16.3.2023,922188,919047,1841235
17.3.2023,859806,853450,1713256
18.3.2023,556802,547743,1104545
19.3.2023,460651,454310,914961
20.3.2023,984350,979903,1964253
21.3.2023,1020487,1015660,2036147
22.3.2023,1046719,1040425,2087144
23.3.2023,1006243,1001066,2007309
24.3.2023,948466,939295,1887761
25.3.2023,573059,564533,1137592
26.3.2023,462212,455157,917369
27.3.2023,987149,979196,1966345
28.3.2023,1013235,1007171,2020406
29.3.2023,1029953,1024564,2054517
30.3.2023,1017297,1009761,2027058
31.3.2023,942131,935727,1877858
1.4.2023,571492,562662,1134154
2.4.2023,449088,444419,893507
3.4.2023,1005428,999581,2005009
4.4.2023,1037449,1032178,2069627
5.4.2023,1059763,1055768,2115531
6.4.2023,914636,903240,1817876
7.4.2023,451348,443360,894708
8.4.2023,400672,395742,796414
9.4.2023,364806,358255,723061
10.4.2023,335794,325215,661009
11.4.2023,979003,974721,1953724
12.4.2023,1045526,1043418,2088944
13.4.2023,1034170,1029670,2063840
14.4.2023,997588,976655,1974243
15.4.2023,572709,569238,1141947
16.4.2023,522584,511167,1033751
17.4.2023,1014493,1011893,2026386
18.4.2023,1046376,1046930,2093306
19.4.2023,1076199,1074727,2150926
20.4.2023,1041067,1038888,2079955
21.4.2023,975197,968450,1943647
22.4.2023,587247,574282,1161529
23.4.2023,454257,444819,899076
24.4.2023,1004700,999684,2004384
25.4.2023,1032299,1027382,2059681
26.4.2023,1070328,1065128,2135456
27.4.2023,1027817,1023771,2051588
28.4.2023,942098,936356,1878454
29.4.2023,586249,576673,1162922
30.4.2023,474816,465230,940046
1.5.2023,451996,440421,892417
2.5.2023,1012353,1007768,2020121
3.5.2023,1062906,1060039,2122945
4.5.2023,1011585,1007466,2019051
5.5.2023,938811,931093,1869904
6.5.2023,531766,520284,1052050
7.5.2023,515476,502880,1018356
8.5.2023,423628,412944,836572
9.5.2023,1006788,1000192,2006980
10.5.2023,1026157,1018569,2044726
11.5.2023,1012541,1003356,2015897
12.5.2023,950511,942884,1893395
13.5.2023,562181,556793,1118974
14.5.2023,480637,474555,955192
15.5.2023,992982,979384,1972366
16.5.2023,1021401,1020442,2041843
17.5.2023,1027799,1029326,2057125
18.5.2023,1039259,1039768,2079027
19.5.2023,952359,947939,1900298
20.5.2023,567323,558142,1125465
21.5.2023,458601,450272,908873
22.5.2023,975729,970286,1946015
23.5.2023,997446,997232,1994678
24.5.2023,1034486,1032313,2066799
25.5.2023,1020838,1018886,2039724
26.5.2023,926099,922167,1848266
27.5.2023,580734,573009,1153743
28.5.2023,484456,475468,959924
29.5.2023,976513,972027,1948540
30.5.2023,1029414,1022143,2051557
31.5.2023,1056175,1051024,2107199
1.6.2023,1026437,1023116,2049553
2.6.2023,963414,957347,1920761
3.6.2023,548134,539906,1088040
4.6.2023,469249,459360,928609
5.6.2023,978433,966495,1944928
6.6.2023,996061,986862,1982923
7.6.2023,1061761,1053877,2115638
8.6.2023,1020396,1010023,2030419
9.6.2023,938614,925951,1864565
10.6.2023,573123,563730,1136853
11.6.2023,472124,464243,936367
12.6.2023,975436,969297,1944733
13.6.2023,1013510,1006064,2019574
14.6.2023,1018431,1011127,2029558
15.6.2023,1000121,994898,1995019
16.6.2023,931242,920343,1851585
17.6.2023,550142,537063,1087205
18.6.2023,496477,486032,982509
19.6.2023,971531,966617,1938148
20.6.2023,1024433,1019808,2044241
21.6.2023,1051294,1042310,2093604
22.6.2023,1013066,1008620,2021686
23.6.2023,886037,880209,1766246
24.6.2023,517721,511529,1029250
25.6.2023,463743,456776,920519
26.6.2023,987037,980708,1967745
27.6.2023,1022321,1018435,2040756
28.6.2023,1039813,1033934,2073747
29.6.2023,1012396,1009852,2022248
30.6.2023,908106,902132,1810238
1.7.2023,452799,445730,898529
2.7.2023,388519,381679,770198
3.7.2023,734032,728840,1462872
4.7.2023,711388,705062,1416450
5.7.2023,430358,422070,852428
6.7.2023,422896,415874,838770
7.7.2023,572410,565675,1138085
8.7.2023,388103,383262,771365
9.7.2023,366720,361157,727877
10.7.2023,797010,791611,1588621
11.7.2023,850069,844454,1694523
12.7.2023,861416,853124,1714540
13.7.2023,841815,834817,1676632
14.7.2023,771718,764256,1535974
15.7.2023,426822,416371,843193
16.7.2023,390579,380701,771280
17.7.2023,839732,834628,1674360
18.7.2023,866248,858702,1724950
19.7.2023,870904,862935,1733839
20.7.2023,843017,836063,1679080
21.7.2023,755511,747124,1502635
22.7.2023,481905,470781,952686
23.7.2023,443950,435921,879871
24.7.2023,816607,808198,1624805
25.7.2023,853884,843637,1697521
26.7.2023,859862,853823,1713685
27.7.2023,835539,824546,1660085
28.7.2023,749100,737307,1486407
29.7.2023,456692,444680,901372
30.7.2023,493793,485560,979353
31.7.2023,829231,820942,1650173
1.8.2023,838865,831100,1669965
2.8.2023,873045,861148,1734193
3.8.2023,845796,838053,1683849
4.8.2023,758260,747593,1505853
5.8.2023,495542,478239,973781
6.8.2023,512446,508987,1021433
7.8.2023,836679,821560,1658239
8.8.2023,871402,860993,1732395
9.8.2023,862145,852058,1714203
10.8.2023,851707,841389,1693096
11.8.2023,779084,765429,1544513
12.8.2023,530448,516279,1046727
13.8.2023,458656,446814,905470
14.8.2023,850382,839643,1690025
15.8.2023,892092,879273,1771365
16.8.2023,894894,878440,1773334
17.8.2023,850302,837345,1687647
18.8.2023,771959,756632,1528591
19.8.2023,493507,479069,972576
20.8.2023,445780,431118,876898
21.8.2023,832457,817565,1650022
22.8.2023,855152,835972,1691124
23.8.2023,856986,838684,1695670
24.8.2023,832725,818403,1651128
25.8.2023,740472,723943,1464415
26.8.2023,476349,459466,935815
27.8.2023,426497,416534,843031
28.8.2023,880472,850363,1730835
29.8.2023,875591,864888,1740479
30.8.2023,906663,895722,1802385
31.8.2023,900684,890124,1790808
1.9.2023,805689,797520,1603209
2.9.2023,519016,508679,1027695
3.9.2023,452541,444443,896984
4.9.2023,975592,968634,1944226
5.9.2023,984430,978439,1962869
6.9.2023,993637,988124,1981761
7.9.2023,967898,962666,1930564
8.9.2023,900499,893813,1794312
9.9.2023,527154,517180,1044334
10.9.2023,461490,449413,910903
11.9.2023,954833,949239,1904072
12.9.2023,983150,978204,1961354
13.9.2023,993376,988737,1982113
14.9.2023,973356,970664,1944020
15.9.2023,929991,926391,1856382
16.9.2023,610166,599015,1209181
17.9.2023,498300,490513,988813
18.9.2023,978948,974183,1953131
19.9.2023,1021720,1020184,2041904
20.9.2023,1052580,1048114,2100694
21.9.2023,1011664,1009294,2020958
22.9.2023,923709,919930,1843639
23.9.2023,522263,514358,1036621
24.9.2023,437611,430385,867996
25.9.2023,981795,982623,1964418
26.9.2023,1018270,1019357,2037627
27.9.2023,1036361,1041332,2077693
28.9.2023,496812,493086,989898
29.9.2023,716556,714054,1430610
30.9.2023,460451,454762,915213
1.10.2023,429982,424388,854370
2.10.2023,1035482,1044124,2079606
3.10.2023,1085393,1086125,2171518
4.10.2023,1085381,1090862,2176243
5.10.2023,1055919,1066660,2122579
6.10.2023,980375,986116,1966491
7.10.2023,512634,505805,1018439
8.10.2023,459064,454263,913327
9.10.2023,1038263,1037590,2075853
10.10.2023,1084414,1089031,2173445
11.10.2023,1096010,1103435,2199445
12.10.2023,1097877,1105095,2202972
13.10.2023,1030156,1027786,2057942
14.10.2023,618136,612989,1231125
15.10.2023,522676,519405,1042081
16.10.2023,1042662,1048035,2090697
17.10.2023,1072890,1076000,2148890
18.10.2023,1103059,1102925,2205984
19.10.2023,1071109,1073241,2144350
20.10.2023,973307,974567,1947874
21.10.2023,602585,595029,1197614
22.10.2023,490203,484800,975003
23.10.2023,1002555,1009736,2012291
24.10.2023,1050299,1045645,2095944
25.10.2023,1063525,1064206,2127731
26.10.2023,968917,967191,1936108
27.10.2023,864796,852880,1717676
28.10.2023,520448,513663,1034111
29.10.2023,510721,503657,1014378
30.10.2023,1083017,1082647,2165664
31.10.2023,1137014,1132300,2269314
1.11.2023,1146227,1143133,2289360
2.11.2023,1123800,1122022,2245822
3.11.2023,1060628,1045278,2105906
4.11.2023,644070,638520,1282590
5.11.2023,499068,494405,993473
6.11.2023,1057583,1061878,2119461
7.11.2023,1100689,1105053,2205742
8.11.2023,1117427,1121812,2239239
9.11.2023,1065314,1073313,2138627
10.11.2023,1006717,1008929,2015646
11.11.2023,581628,576585,1158213
12.11.2023,487515,485028,972543
13.11.2023,1033035,1034906,2067941
14.11.2023,1062169,1061782,2123951
15.11.2023,1084478,1088424,2172902
16.11.2023,1050967,1056086,2107053
17.11.2023,604150,598617,1202767
18.11.2023,503248,497689,1000937
19.11.2023,413687,408591,822278
20.11.2023,1011938,1018230,2030168
21.11.2023,1068679,1070645,2139324
22.11.2023,1085666,1093786,2179452
23.11.2023,1081040,1088684,2169724
24.11.2023,1044138,1050279,2094417
25.11.2023,621023,618480,1239503
26.11.2023,503115,504331,1007446
27.11.2023,1016075,1022312,2038387
28.11.2023,1098125,1106004,2204129
29.11.2023,1095213,1107103,2202316
30.11.2023,1090702,1103328,2194030
1.12.2023,1029754,1032338,2062092
2.12.2023,692776,688072,1380848
3.12.2023,539290,539686,1078976
4.12.2023,1064338,1075107,2139445
5.12.2023,1099626,1113791,2213417
6.12.2023,1114257,1126861,2241118
7.12.2023,1113392,1125203,2238595
8.12.2023,1040086,1046139,2086225
9.12.2023,686358,683479,1369837
10.12.2023,542359,538308,1080667
11.12.2023,1049231,1063330,2112561
12.12.2023,1094168,1103762,2197930
13.12.2023,1108807,1118955,2227762
14.12.2023,1107022,1116263,2223285
15.12.2023,1037836,1046749,2084585
16.12.2023,687493,681683,1369176
17.12.2023,561615,561303,1122918
18.12.2023,1068538,1082622,2151160
19.12.2023,1100176,1108290,2208466
20.12.2023,1102101,1104784,2206885
21.12.2023,1024979,1034197,2059176
22.12.2023,835854,836012,1671866
23.12.2023,457208,451185,908393
24.12.2023,278036,276782,554818
25.12.2023,289621,287184,576805
26.12.2023,360002,356810,716812
27.12.2023,660108,649458,1309566
28.12.2023,668128,669922,1338050
29.12.2023,655401,651741,1307142
30.12.2023,512106,506594,1018700
31.12.2023,457278,454030,911308
1.1.2024,311038,306379,617417
2.1.2024,786097,779148,1565245
3.1.2024,963140,969294,1932434
4.1.2024,975312,977729,1953041
5.1.2024,906810,913134,1819944
6.1.2024,479213,477354,956567
7.1.2024,399828,398854,798682
8.1.2024,945176,955125,1900301
9.1.2024,965910,976962,1942872
10.1.2024,983333,995673,1979006
11.1.2024,965802,977719,1943521
12.1.2024,894380,901736,1796116
13.1.2024,495022,493849,988871
14.1.2024,407236,406858,814094
15.1.2024,951172,962014,1913186
16.1.2024,986318,996067,1982385
17.1.2024,999812,1009312,2009124
18.1.2024,963583,972290,1935873
19.1.2024,912973,919255,1832228
20.1.2024,508582,509075,1017657
21.1.2024,415471,415661,831132
22.1.2024,927585,936746,1864331
23.1.2024,968190,975472,1943662
24.1.2024,986550,994839,1981389
25.1.2024,988132,998084,1986216
26.1.2024,915348,920124,1835472
27.1.2024,546248,544423,1090671
28.1.2024,448289,448473,896762
29.1.2024,944777,956061,1900838
30.1.2024,984909,991874,1976783
31.1.2024,1010596,1019468,2030064
1.2.2024,963962,971219,1935181
2.2.2024,823555,828418,1651973
3.2.2024,485298,484183,969481
4.2.2024,411054,411304,822358
5.2.2024,840095,847082,1687177
6.2.2024,881357,886883,1768240
7.2.2024,898204,899193,1797397
8.2.2024,873628,877894,1751522
9.2.2024,801353,806424,1607777
10.2.2024,512247,510624,1022871
11.2.2024,406205,397479,803684
12.2.2024,908751,917364,1826115
13.2.2024,950337,955661,1905998
14.2.2024,982146,987363,1969509
15.2.2024,939063,944835,1883898
16.2.2024,877955,881379,1759334
17.2.2024,526268,523761,1050029
18.2.2024,478543,482174,960717
19.2.2024,1028957,1037216,2066173
20.2.2024,1034715,1042878,2077593
21.2.2024,1050873,1058729,2109602
22.2.2024,1057606,1062250,2119856
23.2.2024,953695,958955,1912650
24.2.2024,547709,546156,1093865
25.2.2024,404736,401415,806151
26.2.2024,982211,991781,1973992
27.2.2024,1033258,1040958,2074216
28.2.2024,1044954,1054695,2099649
29.2.2024,1024098,1036133,2060231
1.3.2024,937229,942183,1879412
2.3.2024,536222,534360,1070582
3.3.2024,466368,467225,933593
4.3.2024,1008431,1014455,2022886
5.3.2024,1032021,1036879,2068900
6.3.2024,1060573,1061317,2121890
7.3.2024,1059644,1068506,2128150
8.3.2024,982271,987646,1969917
9.3.2024,495083,490832,985915
10.3.2024,417442,412450,829892
11.3.2024,999022,1006232,2005254
12.3.2024,1038276,1041830,2080106
13.3.2024,1073520,1076773,2150293
14.3.2024,1042329,1049814,2092143
15.3.2024,981638,984572,1966210
16.3.2024,587045,582859,1169904
17.3.2024,505474,503513,1008987
18.3.2024,1000359,1009299,2009658
19.3.2024,1040954,1049937,2090891
20.3.2024,1059974,1066705,2126679
21.3.2024,1030651,1037758,2068409
22.3.2024,987295,990027,1977322
23.3.2024,581901,573765,1155666
24.3.2024,477087,472082,949169
25.3.2024,1014243,1020018,2034261
26.3.2024,1074785,1082991,2157776
27.3.2024,1088133,1089425,2177558
28.3.2024,930993,929073,1860066
29.3.2024,507602,502146,1009748
30.3.2024,475196,468044,943240
31.3.2024,391856,385423,777279
1.4.2024,318060,313207,631267
2.4.2024,1020331,1018021,2038352
3.4.2024,1077126,1080051,2157177
4.4.2024,1061486,1065268,2126754
5.4.2024,1004461,1003664,2008125
6.4.2024,666939,657701,1324640
7.4.2024,518797,511195,1029992
8.4.2024,1037014,1035606,2072620
9.4.2024,1099109,1098223,2197332
10.4.2024,1102985,1104198,2207183
11.4.2024,1092082,1093805,2185887
12.4.2024,1007844,1004444,2012288
13.4.2024,606978,597923,1204901
14.4.2024,495024,488196,983220
15.4.2024,1025670,1021200,2046870
16.4.2024,1078691,1077459,2156150
17.4.2024,1099855,1098301,2198156
18.4.2024,1068517,1066300,2134817
19.4.2024,977001,972461,1949462
20.4.2024,549018,542296,1091314
21.4.2024,477646,470581,948227
22.4.2024,1017775,1019165,2036940
23.4.2024,1051160,1051116,2102276
24.4.2024,1073598,1072430,2146028
25.4.2024,1055926,1053120,2109046
26.4.2024,964680,960611,1925291
27.4.2024,623210,613964,1237174
28.4.2024,501400,490607,992007
29.4.2024,1050923,1043924,2094847
30.4.2024,1109740,1103772,2213512
1.5.2024,584451,576455,1160906
2.5.2024,1061686,1056062,2117748
3.5.2024,974505,970236,1944741
4.5.2024,577519,570092,1147611
5.5.2024,522578,516766,1039344
6.5.2024,1003252,1000412,2003664
7.5.2024,1070662,1052718,2123380
8.5.2024,513472,510186,1023658
9.5.2024,1024465,1023413,2047878
10.5.2024,982141,979258,1961399
11.5.2024,715705,717828,1433533
12.5.2024,613920,613940,1227860
13.5.2024,1083036,1082937,2165973
14.5.2024,1117609,1118747,2236356
15.5.2024,1162719,1155771,2318490
16.5.2024,1099565,1103501,2203066
17.5.2024,1010848,1005773,2016621
18.5.2024,665478,658308,1323786
19.5.2024,554130,548605,1102735
20.5.2024,1082009,1077313,2159322
21.5.2024,1107128,1102124,2209252
22.5.2024,1065972,1064280,2130252
23.5.2024,1093235,1094783,2188018
24.5.2024,955690,950989,1906679
25.5.2024,581091,575772,1156863
26.5.2024,584616,579059,1163675
27.5.2024,1030610,1023973,2054583
28.5.2024,1059977,1050363,2110340
29.5.2024,1081970,1077348,2159318
30.5.2024,1059874,1056384,2116258
31.5.2024,988113,982632,1970745
1.6.2024,573123,559431,1132554
2.6.2024,478842,469563,948405
3.6.2024,993940,996511,1990451
4.6.2024,1035789,1038844,2074633
5.6.2024,1062290,1062780,2125070
6.6.2024,1044201,1045595,2089796
7.6.2024,989869,990268,1980137
8.6.2024,603190,599032,1202222
9.6.2024,484522,477897,962419
10.6.2024,1014226,1015066,2029292
11.6.2024,1048512,1050718,2099230
12.6.2024,1083029,1084552,2167581
13.6.2024,1041091,1041304,2082395
14.6.2024,945083,943645,1888728
15.6.2024,573448,566491,1139939
16.6.2024,504208,497098,1001306
17.6.2024,1010045,1009926,2019971
18.6.2024,1069794,1064624,2134418
19.6.2024,1070610,1070696,2141306
20.6.2024,1044789,1043896,2088685
21.6.2024,938211,933266,1871477
22.6.2024,551501,543464,1094965
23.6.2024,506440,499667,1006107
24.6.2024,1056571,1054761,2111332
