Období,Vstup,Výstup,Obrat
6.7.2020,290459,286548,577007
7.7.2020,630277,629982,1260259
8.7.2020,661101,655501,1316602
9.7.2020,634343,635284,1269627
10.7.2020,587250,584289,1171539
11.7.2020,303961,299978,603939
12.7.2020,289838,284001,573839
13.7.2020,669148,664041,1333189
14.7.2020,709314,704627,1413941
15.7.2020,707519,701063,1408582
16.7.2020,684440,678227,1362667
17.7.2020,625946,619264,1245210
18.7.2020,354804,346243,701047
19.7.2020,316820,309082,625902
20.7.2020,668353,661613,1329966
21.7.2020,687143,681770,1368913
22.7.2020,706910,701741,1408651
23.7.2020,674874,672738,1347612
24.7.2020,610330,604170,1214500
25.7.2020,341377,333955,675332
26.7.2020,281655,274225,555880
27.7.2020,654356,647565,1301921
28.7.2020,646581,645720,1292301
29.7.2020,678959,674303,1353262
30.7.2020,657148,652919,1310067
31.7.2020,594479,588811,1183290
1.8.2020,326233,319556,645789
2.8.2020,289690,281993,571683
3.8.2020,634008,624441,1258449
4.8.2020,667935,662192,1330127
5.8.2020,705210,700527,1405737
6.8.2020,669555,663409,1332964
7.8.2020,602361,595439,1197800
8.8.2020,335802,329051,664853
9.8.2020,304631,296378,601009
10.8.2020,635771,627429,1263200
11.8.2020,660788,656312,1317100
12.8.2020,675590,669778,1345368
13.8.2020,648851,644863,1293714
14.8.2020,606752,596264,1203016
15.8.2020,360475,349689,710164
16.8.2020,336703,327721,664424
17.8.2020,676232,670797,1347029
18.8.2020,690307,682145,1372452
19.8.2020,706670,700018,1406688
20.8.2020,686240,678254,1364494
21.8.2020,604685,595447,1200132
22.8.2020,335261,326339,661600
23.8.2020,328713,319674,648387
24.8.2020,695733,689734,1385467
25.8.2020,728991,721880,1450871
26.8.2020,730710,726060,1456770
27.8.2020,709989,706384,1416373
28.8.2020,656167,649151,1305318
29.8.2020,352857,345481,698338
30.8.2020,318204,312130,630334
31.8.2020,738956,732968,1471924
1.9.2020,818495,814065,1632560
2.9.2020,833095,828524,1661619
3.9.2020,815528,810254,1625782
4.9.2020,743706,739735,1483441
5.9.2020,376079,367531,743610
6.9.2020,335734,329984,665718
7.9.2020,790467,785676,1576143
8.9.2020,809134,803554,1612688
9.9.2020,813055,802131,1615186
10.9.2020,764772,761087,1525859
11.9.2020,714586,709319,1423905
12.9.2020,363662,355628,719290
13.9.2020,329726,322382,652108
14.9.2020,767233,763360,1530593
15.9.2020,784361,773989,1558350
16.9.2020,790287,780265,1570552
17.9.2020,764291,756373,1520664
18.9.2020,717605,713479,1431084
19.9.2020,360952,356630,717582
20.9.2020,324766,322480,647246
21.9.2020,727666,729923,1457589
22.9.2020,739858,735890,1475748
23.9.2020,748972,745151,1494123
24.9.2020,736582,733740,1470322
25.9.2020,660269,650604,1310873
26.9.2020,291719,281618,573337
27.9.2020,287129,284514,571643
28.9.2020,260263,257684,517947
29.9.2020,748494,740153,1488647
30.9.2020,771781,767736,1539517
1.10.2020,741806,743959,1485765
2.10.2020,704892,703960,1408852
3.10.2020,344781,338191,682972
4.10.2020,311963,308919,620882
5.10.2020,672540,668515,1341055
6.10.2020,684609,683214,1367823
7.10.2020,697732,694514,1392246
8.10.2020,673786,672516,1346302
9.10.2020,614186,607982,1222168
10.10.2020,277009,271261,548270
11.10.2020,262460,258495,520955
12.10.2020,593914,591981,1185895
13.10.2020,591252,588915,1180167
14.10.2020,532965,515299,1048264
15.10.2020,504801,500885,1005686
16.10.2020,463853,460651,924504
17.10.2020,227613,223992,451605
18.10.2020,213877,208313,422190
19.10.2020,483236,477631,960867
20.10.2020,479946,477363,957309
21.10.2020,510567,507809,1018376
22.10.2020,396126,395203,791329
23.10.2020,370047,366728,736775
24.10.2020,190582,187978,378560
25.10.2020,180002,177618,357620
26.10.2020,385552,383526,769078
27.10.2020,382227,380089,762316
28.10.2020,167696,165900,333596
29.10.2020,346780,344258,691038
30.10.2020,331390,327684,659074
31.10.2020,179300,177181,356481
1.11.2020,131495,128822,260317
2.11.2020,399011,394910,793921
3.11.2020,380863,380054,760917
4.11.2020,394504,392102,786606
5.11.2020,391147,390240,781387
6.11.2020,377373,374957,752330
7.11.2020,189704,185961,375665
8.11.2020,143350,140093,283443
9.11.2020,403858,403322,807180
10.11.2020,402392,401226,803618
11.11.2020,415351,414862,830213
12.11.2020,407546,406835,814381
13.11.2020,397425,395401,792826
14.11.2020,213075,210639,423714
15.11.2020,156993,154266,311259
16.11.2020,378798,376935,755733
17.11.2020,237776,234187,471963
18.11.2020,454906,451738,906644
19.11.2020,439146,438608,877754
20.11.2020,426969,424326,851295
21.11.2020,224539,221589,446128
22.11.2020,171357,169320,340677
23.11.2020,456920,456355,913275
24.11.2020,460232,458553,918785
25.11.2020,495788,491952,987740
26.11.2020,478230,477601,955831
27.11.2020,460135,458413,918548
28.11.2020,229034,225281,454315
29.11.2020,194643,191043,385686
30.11.2020,522333,520613,1042946
1.12.2020,520311,518650,1038961
2.12.2020,532477,532024,1064501
3.12.2020,617963,617750,1235713
4.12.2020,596438,595014,1191452
5.12.2020,345447,339082,684529
6.12.2020,282687,278160,560847
7.12.2020,645184,642569,1287753
8.12.2020,665597,660545,1326142
9.12.2020,658158,654881,1313039
10.12.2020,656429,653608,1310037
11.12.2020,636848,631922,1268770
12.12.2020,352676,346560,699236
13.12.2020,286906,281849,568755
14.12.2020,659770,655942,1315712
15.12.2020,666411,662697,1329108
16.12.2020,686568,680937,1367505
17.12.2020,683546,678883,1362429
18.12.2020,602588,596881,1199469
19.12.2020,297870,291227,589097
20.12.2020,251587,246387,497974
21.12.2020,538459,533399,1071858
22.12.2020,494372,489265,983637
23.12.2020,388865,380449,769314
24.12.2020,134551,132281,266832
25.12.2020,114702,111799,226501
26.12.2020,153825,149851,303676
27.12.2020,168375,164991,333366
28.12.2020,295143,290939,586082
29.12.2020,300294,297548,597842
30.12.2020,306252,303104,609356
31.12.2020,219849,219877,439726
1.1.2021,105696,104129,209825
2.1.2021,155315,152524,307839
3.1.2021,146247,143269,289516
4.1.2021,427378,421930,849308
5.1.2021,422548,418757,841305
6.1.2021,440096,434787,874883
7.1.2021,420542,418696,839238
8.1.2021,403064,399558,802622
9.1.2021,185927,183415,369342
10.1.2021,168333,164960,333293
11.1.2021,452108,448977,901085
12.1.2021,443317,439786,883103
13.1.2021,460165,456832,916997
14.1.2021,446509,444886,891395
15.1.2021,420819,420104,840923
16.1.2021,197654,194457,392111
17.1.2021,170294,167736,338030
18.1.2021,456722,454683,911405
19.1.2021,461177,458592,919769
20.1.2021,478338,477122,955460
21.1.2021,465152,462184,927336
22.1.2021,435674,434159,869833
23.1.2021,190897,188310,379207
24.1.2021,181646,180019,361665
25.1.2021,470068,470102,940170
26.1.2021,465551,465522,931073
27.1.2021,484822,483791,968613
28.1.2021,466908,465655,932563
29.1.2021,421721,416547,838268
30.1.2021,191628,188525,380153
31.1.2021,202134,199108,401242
1.2.2021,474852,474143,948995
2.2.2021,472085,470277,942362
3.2.2021,482207,477209,959416
4.2.2021,478342,474612,952954
5.2.2021,443251,438400,881651
6.2.2021,192108,187906,380014
7.2.2021,185517,181616,367133
8.2.2021,514772,508172,1022944
9.2.2021,499800,489441,989241
10.2.2021,505693,497542,1003235
11.2.2021,479974,476429,956403
12.2.2021,450833,446676,897509
13.2.2021,197286,194567,391853
14.2.2021,184573,182348,366921
15.2.2021,475785,475119,950904
16.2.2021,471339,467304,938643
17.2.2021,484999,480104,965103
18.2.2021,471054,467905,938959
19.2.2021,443626,439885,883511
20.2.2021,233128,229113,462241
21.2.2021,185348,181371,366719
22.2.2021,451033,448091,899124
23.2.2021,453643,452264,905907
24.2.2021,464351,460682,925033
25.2.2021,441767,438786,880553
26.2.2021,416952,414010,830962
27.2.2021,200724,197279,398003
28.2.2021,202645,199036,401681
1.3.2021,374491,372247,746738
2.3.2021,360525,358366,718891
3.3.2021,369317,366164,735481
4.3.2021,357484,355175,712659
5.3.2021,339167,336572,675739
6.3.2021,181447,178792,360239
7.3.2021,160437,158199,318636
8.3.2021,373127,370816,743943
9.3.2021,368768,366640,735408
10.3.2021,379379,377393,756772
11.3.2021,364267,361315,725582
12.3.2021,356471,354120,710591
13.3.2021,174103,172028,346131
14.3.2021,153347,150402,303749
15.3.2021,384391,381105,765496
16.3.2021,377188,373861,751049
17.3.2021,385464,382358,767822
18.3.2021,378733,376254,754987
19.3.2021,359239,358674,717913
20.3.2021,182317,180585,362902
21.3.2021,149645,147408,297053
22.3.2021,394526,392384,786910
23.3.2021,387925,386159,774084
24.3.2021,405967,403763,809730
25.3.2021,403229,402532,805761
26.3.2021,389340,386348,775688
27.3.2021,188532,187239,375771
28.3.2021,177880,175677,353557
29.3.2021,411509,408470,819979
30.3.2021,430338,427435,857773
31.3.2021,444124,440628,884752
1.4.2021,426356,423414,849770
2.4.2021,174103,172331,346434
3.4.2021,169362,167740,337102
4.4.2021,169252,166492,335744
5.4.2021,135507,133535,269042
6.4.2021,411203,407618,818821
7.4.2021,421227,419602,840829
8.4.2021,417392,415779,833171
9.4.2021,406698,404200,810898
10.4.2021,205747,203119,408866
11.4.2021,210144,207694,417838
12.4.2021,454412,450975,905387
13.4.2021,462281,460104,922385
14.4.2021,480414,478287,958701
15.4.2021,466562,463944,930506
16.4.2021,435245,431273,866518
17.4.2021,211238,207776,419014
18.4.2021,201649,197866,399515
19.4.2021,469589,467611,937200
20.4.2021,489438,487654,977092
21.4.2021,504934,502157,1007091
22.4.2021,489186,486316,975502
23.4.2021,465126,462000,927126
24.4.2021,256952,252320,509272
25.4.2021,220504,216679,437183
26.4.2021,500330,497059,997389
27.4.2021,509789,508068,1017857
28.4.2021,532738,530484,1063222
29.4.2021,510590,509551,1020141
30.4.2021,487787,484369,972156
1.5.2021,229670,225634,455304
2.5.2021,176569,172654,349223
3.5.2021,533221,530738,1063959
4.5.2021,542242,538504,1080746
5.5.2021,547448,545177,1092625
6.5.2021,535105,533679,1068784
7.5.2021,498484,495655,994139
8.5.2021,240790,236688,477478
9.5.2021,272380,266661,539041
10.5.2021,608856,602689,1211545
11.5.2021,615437,610278,1225715
12.5.2021,592519,586965,1179484
13.5.2021,601120,586146,1187266
14.5.2021,566130,559076,1125206
15.5.2021,312652,307073,619725
16.5.2021,268957,264667,533624
17.5.2021,606566,604183,1210749
18.5.2021,620670,619381,1240051
19.5.2021,640204,641163,1281367
20.5.2021,634287,631479,1265766
21.5.2021,596183,592284,1188467
22.5.2021,321481,314843,636324
23.5.2021,272383,267525,539908
24.5.2021,667675,665522,1333197
25.5.2021,675413,671626,1347039
26.5.2021,686072,683983,1370055
27.5.2021,673390,671145,1344535
28.5.2021,638558,634100,1272658
29.5.2021,324878,319947,644825
30.5.2021,285426,280867,566293
31.5.2021,679109,677001,1356110
1.6.2021,712893,710321,1423214
2.6.2021,728789,725226,1454015
3.6.2021,716373,711712,1428085
4.6.2021,676431,670155,1346586
5.6.2021,340947,333734,674681
6.6.2021,302060,295560,597620
7.6.2021,719612,714247,1433859
8.6.2021,739705,732670,1472375
9.6.2021,744132,738461,1482593
10.6.2021,741826,734561,1476387
11.6.2021,692498,684024,1376522
12.6.2021,355458,346468,701926
13.6.2021,311319,304900,616219
14.6.2021,735037,727525,1462562
15.6.2021,767270,760316,1527586
16.6.2021,785605,779848,1565453
17.6.2021,771446,764601,1536047
18.6.2021,710365,701115,1411480
19.6.2021,370948,362268,733216
20.6.2021,334245,326504,660749
21.6.2021,757903,751066,1508969
22.6.2021,762769,748262,1511031
23.6.2021,794234,784946,1579180
24.6.2021,787657,780085,1567742
25.6.2021,712429,699973,1412402
26.6.2021,384181,377235,761416
27.6.2021,347589,342571,690160
28.6.2021,770791,766746,1537537
29.6.2021,786416,778626,1565042
30.6.2021,792332,789403,1581735
1.7.2021,701251,696520,1397771
2.7.2021,611450,603253,1214703
3.7.2021,342061,334887,676948
4.7.2021,303289,296206,599495
5.7.2021,302496,297320,599816
6.7.2021,316340,311012,627352
7.7.2021,593484,584737,1178221
8.7.2021,571737,566872,1138609
9.7.2021,537595,533179,1070774
10.7.2021,336510,330794,667304
11.7.2021,288201,282085,570286
