date,den,Tramvaje,Autobusy,Metro,vše
2025-04-10,čtvrtek,1279465,910306,1099109,3288880
2025-04-11,pátek,1244181,827766,1104198,3176145
2025-04-12,sobota,799736,494773,1093805,2388314
2025-04-13,neděle,661952,421864,1007844,2091660
2025-04-14,pondělí,1276700,897961,606978,2781639
2025-04-15,úterý,1326354,908282,495024,2729660
2025-04-16,středa,1391963,928272,1025670,3345905
2025-04-17,čtvrtek,1133819,731103,1078691,2943613
2025-04-18,pátek,597083,346863,1099855,2043801
2025-04-19,sobota,650784,376467,1068517,2095768
2025-04-20,neděle,614833,353285,977001,1945119
2025-04-21,pondělí,496768,282771,549018,1328557
2025-04-22,úterý,1255130,889910,477646,2622686
2025-04-23,středa,1338586,930404,1019165,3288155
2025-04-24,čtvrtek,1299181,874239,1051160,3224580
2025-04-25,pátek,1141703,806346,1073598,3021647
2025-04-26,sobota,768339,466934,1055926,2291199
2025-04-27,neděle,648974,388983,964680,2002637
2025-04-28,pondělí,1247677,903781,623210,2774668
2025-04-29,úterý,1302736,911142,501400,2715278
2025-04-30,středa,1373042,961672,1050923,3385637
2025-05-01,čtvrtek,725141,463485,1109740,2298366
2025-05-02,pátek,995428,718881,584451,2298760
2025-05-03,sobota,678093,411647,1061686,2151426
2025-05-04,neděle,552974,362249,974505,1889728
2025-05-05,pondělí,1176125,874285,577519,2627929
2025-05-06,úterý,1235150,895128,522578,2652856
2025-05-07,středa,1252482,908521,1003252,3164255
2025-05-08,čtvrtek,622850,379270,1070662,2072782
2025-05-09,pátek,911608,624641,513472,2049721
2025-05-10,sobota,672246,421035,1024465,2117746
2025-05-11,neděle,603629,373786,982141,1959556
2025-05-12,pondělí,1202527,899930,717828,2820285
2025-05-13,úterý,1271020,896610,613940,2781570
2025-05-14,středa,1293520,925997,1083036,3302553
2025-05-15,čtvrtek,1276566,877858,1118747,3273171
2025-05-16,pátek,1126351,804176,1162719,3093246
2025-05-17,sobota,732367,447468,1103501,2283336
2025-05-18,neděle,619700,377862,1010848,2008410
2025-05-19,pondělí,1171310,863967,665478,2700755
2025-05-20,úterý,1246733,899026,554130,2699889
2025-05-21,středa,1241625,885570,1082009,3209204
2025-05-22,čtvrtek,1187564,862478,1107128,3157170
2025-05-23,pátek,1183454,808325,1065972,3057751
2025-05-24,sobota,745299,461205,1094783,2301287
2025-05-25,neděle,569848,357641,955690,1883179
2025-05-26,pondělí,1153186,858093,581091,2592370
2025-05-27,úterý,1239708,887488,584616,2711812
2025-05-28,středa,1217823,865620,1030610,3114053
2025-05-29,čtvrtek,1274252,874093,1059977,3208322
2025-05-30,pátek,1165569,809243,1081970,3056782
2025-05-31,sobota,755440,437984,1059874,2253298
2025-06-01,neděle,669295,380411,988113,2037819
2025-06-02,pondělí,1182889,840958,573123,2596970
2025-06-03,úterý,1237231,872154,478842,2588227
2025-06-04,středa,1228853,873665,996511,3099029
2025-06-05,čtvrtek,1183877,845547,1038844,3068268
2025-06-06,pátek,1082046,770347,1062780,2915173
2025-06-07,sobota,647372,391531,1045595,2084498
2025-06-08,neděle,601491,340013,990268,1931772
2025-06-09,pondělí,1237290,875335,603190,2715815
2025-06-10,úterý,1277837,875295,484522,2637654
2025-06-11,středa,1303735,882026,1015066,3200827
2025-06-12,čtvrtek,1266727,844121,1050718,3161566
2025-06-13,pátek,1126377,784348,1084552,2995277
2025-06-14,sobota,774963,448338,1041304,2264605
2025-06-15,neděle,592341,378006,945083,1915430
2025-06-16,pondělí,1164525,827224,573448,2565197
2025-06-17,úterý,1278283,861788,504208,2644279
2025-06-18,středa,1293957,882295,1010045,3186297
2025-06-19,čtvrtek,1284287,859541,1069794,3213622
2025-06-20,pátek,1139838,772204,1070696,2982738
2025-06-21,sobota,700537,431375,1044789,2176701
2025-06-22,neděle,591244,370000,938211,1899455
2025-06-23,pondělí,1131085,811003,551501,2493589
2025-06-24,úterý,1229491,855040,506440,2590971
2025-06-25,středa,1285734,870939,1056571,3213244
2025-06-26,čtvrtek,1219256,856340,1084400,3159996
2025-06-27,pátek,1133427,782558,1075406,2991391
2025-06-28,sobota,601526,401626,1066426,2069578
2025-06-29,neděle,518690,352112,965471,1836273
2025-06-30,pondělí,943893,661395,484280,2089568
2025-07-01,úterý,967520,652621,444804,2064945
2025-07-02,středa,937633,637717,799957,2375307
2025-07-03,čtvrtek,939996,717626,817973,2475595
2025-07-04,pátek,812263,690622,802124,2305009
2025-07-05,sobota,582836,412729,831050,1826615
2025-07-06,neděle,552588,369882,528492,1450962
2025-07-07,pondělí,947855,634160,458059,2040074
2025-07-08,úterý,967840,635926,427946,2031712
2025-07-09,středa,1017919,657767,864396,2540082
2025-07-10,čtvrtek,977539,643593,922354,2543486
2025-07-11,pátek,914180,586344,906421,2406945
2025-07-12,sobota,528412,349845,899583,1777840
2025-07-13,neděle,562963,335874,798780,1697617
2025-07-14,pondělí,993012,643688,514416,2151116
2025-07-15,úterý,1056600,650224,467610,2174434
2025-07-16,středa,1044285,653795,891484,2589564
2025-07-17,čtvrtek,1015245,626770,921390,2563405
2025-07-18,pátek,916608,564330,925629,2406567
2025-07-19,sobota,585694,365979,918502,1870175
2025-07-20,neděle,509847,341433,812341,1663621
2025-07-21,pondělí,910774,623465,507014,2041253
2025-07-22,úterý,975796,652500,462993,2091289
2025-07-23,středa,1020497,666443,867726,2554666
2025-07-24,čtvrtek,940629,625681,926986,2493296
2025-07-25,pátek,852996,574926,937125,2365047
2025-07-26,sobota,616383,355401,897743,1869527
2025-07-27,neděle,601732,335688,791252,1728672
2025-07-28,pondělí,897570,604332,497254,1999156
2025-07-29,úterý,997369,635518,459827,2092714
2025-07-30,středa,974204,623418,873984,2471606
2025-07-31,čtvrtek,1007108,621956,915612,2544676
2025-08-01,pátek,869481,552705,895777,2317963
2025-08-02,sobota,638988,397641,869708,1906337
2025-08-03,neděle,545241,357676,767652,1670569
2025-08-04,pondělí,964878,726603,454227,2145708
2025-08-05,úterý,1037989,728132,393442,2159563
2025-08-06,středa,1043882,776893,862503,2683278
2025-08-07,čtvrtek,1013145,738269,922205,2673619
2025-08-08,pátek,881914,661786,907843,2451543
2025-08-09,sobota,650436,457239,866464,1974139
2025-08-10,neděle,602126,424170,799050,1825346
2025-08-11,pondělí,955278,617926,532884,2106088
2025-08-12,úterý,1005486,639598,469644,2114728
2025-08-13,středa,1001649,633236,873512,2508397
2025-08-14,čtvrtek,945811,611957,900897,2458665
2025-08-15,pátek,863918,531166,900169,2295253
2025-08-16,sobota,683936,343099,893962,1920997
2025-08-17,neděle,618673,339056,808849,1766578
2025-08-18,pondělí,970690,637100,548556,2156346
2025-08-19,úterý,1015005,640865,459196,2115066
2025-08-20,středa,1024908,648220,876110,2549238
2025-08-21,čtvrtek,990025,625134,937135,2552294
2025-08-22,pátek,873788,569664,934183,2377635
2025-08-23,sobota,638410,361524,905185,1905119
2025-08-24,neděle,601138,335527,807350,1744015
2025-08-25,pondělí,996053,666752,525663,2188468
2025-08-26,úterý,1032971,685915,467891,2186777
2025-08-27,středa,1040469,661471,921059,2622999
2025-08-28,čtvrtek,990978,659100,984079,2634157
2025-08-29,pátek,864543,590967,984110,2439620
2025-08-30,sobota,635018,389732,939833,1964583
2025-08-31,neděle,578040,372922,848643,1799605
2025-09-01,pondělí,1190461,831645,536321,2558427
2025-09-02,úterý,1178637,840551,477905,2497093
2025-09-03,středa,1246455,850709,1020610,3117774
2025-09-04,čtvrtek,1187889,832109,1044539,3064537
2025-09-05,pátek,1056500,743263,1048889,2848652
2025-09-06,sobota,678180,409271,1028156,2115607
2025-09-07,neděle,664062,385212,945663,1994937
2025-09-08,pondělí,1176769,858270,580100,2615139
2025-09-09,úterý,1223612,861566,484205,2569383
2025-09-10,středa,1199662,855264,1030861,3085787
2025-09-11,čtvrtek,1218546,860017,1061458,3140021
2025-09-12,pátek,1114116,786051,1057533,2957700
2025-09-13,sobota,664538,437849,1025222,2127609
2025-09-14,neděle,559144,336931,988944,1885019
2025-09-15,pondělí,1196380,870530,480788,2547698
2025-09-16,úterý,1244349,880398,407388,2532135
2025-09-17,středa,1302931,894953,1007109,3204993
2025-09-18,čtvrtek,1249162,866161,1071216,3186539
2025-09-19,pátek,1128907,790976,1105168,3025051
2025-09-20,sobota,834062,471477,1059794,2365333
2025-09-21,neděle,616015,398954,999034,2014003
2025-09-22,pondělí,1188140,864990,632494,2685624
2025-09-23,úterý,1264148,869094,523335,2656577
2025-09-24,středa,1271904,896678,1055247,3223829
2025-09-25,čtvrtek,1170783,835346,1080928,3087057
2025-09-26,pátek,1134417,800839,1112399,3047655
2025-09-27,sobota,850363,428331,1069124,2347818
2025-09-28,neděle,764091,358467,1017028,2139586
2025-09-29,pondělí,1279245,909983,508982,2698210
2025-09-30,úterý,1353736,933789,511506,2799031
2025-10-01,středa,1328415,943635,1057890,3329940
2025-10-02,čtvrtek,1336147,932186,1097592,3365925
2025-10-03,pátek,1253143,899049,1105962,3258154
2025-10-04,sobota,723975,416093,1096824,2236892
2025-10-05,neděle,616635,370189,1024460,2011284
2025-10-06,pondělí,1290929,902382,595086,2788397
2025-10-07,úterý,1348398,951536,495804,2795738
2025-10-08,středa,1342733,944084,1044518,3331335
2025-10-09,čtvrtek,1380681,933526,1105097,3419304
2025-10-10,pátek,1233408,857634,1127918,3218960
2025-10-11,sobota,839765,454647,1103533,2397945
2025-10-12,neděle,630446,387443,1027193,2045082
2025-10-13,pondělí,1308525,933878,614474,2856877
2025-10-14,úterý,1379894,949905,506052,2835851
2025-10-15,středa,1406344,961041,1073448,3440833
2025-10-16,čtvrtek,1478524,952104,1134380,3565008
2025-10-17,pátek,1270268,876595,1152478,3299341
2025-10-18,sobota,836929,514412,1131429,2482770
2025-10-19,neděle,670855,423735,1020370,2114960
2025-10-20,pondělí,1340329,931967,611341,2883637
2025-10-21,úterý,1448528,969275,509317,2927120
2025-10-22,středa,1406309,948577,1072661,3427547
2025-10-23,čtvrtek,1394315,927960,1125712,3447987
2025-10-24,pátek,1211191,843132,1125259,3179582
2025-10-25,sobota,763873,413946,1110802,2288621
2025-10-26,neděle,672324,358617,999866,2030807
2025-10-27,pondělí,991334,632183,501541,2125058
2025-10-28,úterý,737014,361499,455174,1553687
2025-10-29,středa,1199077,790864,435005,2424946
2025-10-30,čtvrtek,1284783,839583,995309,3119675
2025-10-31,pátek,1205168,796206,1029980,3031354
2025-11-01,sobota,842824,475357,1063890,2382071
2025-11-02,neděle,566689,352200,996787,1915676
2025-11-03,pondělí,1312008,955774,599918,2867700
2025-11-04,úterý,1398934,988501,486378,2873813
2025-11-05,středa,1342748,979236,1065236,3387220
2025-11-06,čtvrtek,1360779,969032,1106401,3436212
2025-11-07,pátek,1273713,892659,1123116,3289488
2025-11-08,sobota,902614,485642,1095198,2483454
2025-11-09,neděle,685651,370635,1042737,2099023
2025-11-10,pondělí,1302126,963347,581638,2847111
2025-11-11,úterý,1364813,971409,468706,2804928
2025-11-12,středa,1365151,987302,1081959,3434412
2025-11-13,čtvrtek,1322718,972688,1119855,3415261
2025-11-14,pátek,1227577,876199,1139822,3243598
2025-11-15,sobota,756978,495353,1121000,2373331
2025-11-16,neděle,670729,458918,1036282,2165929
2025-11-17,pondělí,668030,468333,607366,1743729
2025-11-18,úterý,1309053,972038,559031,2840122
2025-11-19,středa,1382879,994192,1064498,3441569
2025-11-20,čtvrtek,1356080,960014,1103166,3419260
2025-11-21,pátek,1221745,889913,1134157,3245815
2025-11-22,sobota,809505,539778,1139063,2488346
2025-11-23,neděle,674048,448009,1082790,2204847
2025-11-24,pondělí,1305683,968579,599157,2873419
2025-11-25,úterý,1411246,974713,483078,2869037
2025-11-26,středa,1338939,970462,1069891,3379292
2025-11-27,čtvrtek,1366633,959985,1115630,3442248
2025-11-28,pátek,1310618,902951,1142238,3355807
2025-11-29,sobota,855406,458934,1113411,2427751
2025-11-30,neděle,782774,393436,1062466,2238676
2025-12-01,pondělí,1349180,940960,664660,2954800
2025-12-02,úterý,1399258,973364,527381,2900003
2025-12-03,středa,1415259,974922,1095855,3486036
2025-12-04,čtvrtek,1406088,959381,1147249,3512718
2025-12-05,pátek,1298212,884874,1167882,3350968
2025-12-06,sobota,877512,461830,1151425,2490767
2025-12-07,neděle,713656,398247,1054539,2166442
2025-12-08,pondělí,1359179,923724,717880,3000783
2025-12-09,úterý,1421857,958513,537869,2918239
2025-12-10,středa,1437864,971813,1111121,3520798
2025-12-11,čtvrtek,1411418,960942,1161493,3533853
2025-12-12,pátek,1325623,882544,1189859,3398026
2025-12-13,sobota,887424,471858,1183379,2542661
2025-12-14,neděle,723540,388971,1099899,2212410
2025-12-15,pondělí,1351249,915217,705027,2971493
2025-12-16,úterý,1402637,935384,574408,2912429
2025-12-17,středa,1465587,942263,1128602,3536452
2025-12-18,čtvrtek,1442930,947412,1168927,3559269
2025-12-19,pátek,1296101,847070,1196155,3339326
2025-12-20,sobota,848624,448155,1178251,2475030
2025-12-21,neděle,752996,391196,1081938,2226130
2025-12-22,pondělí,1045331,636003,639272,2320606
2025-12-23,úterý,867656,519282,546892,1933830
2025-12-24,středa,409067,216715,666460,1292242
2025-12-25,čtvrtek,412190,194507,303541,910238
2025-12-26,pátek,456461,218437,322786,997684
2025-12-27,sobota,628748,356792,380868,1366408
2025-12-28,neděle,602627,342221,622938,1567786
2025-12-29,pondělí,845632,526898,523477,1896007
2025-12-30,úterý,869485,525268,487389,1882142
2025-12-31,středa,713307,437628,698655,1849590
